gene,control_1_poly,control_2_poly,control_3_poly,control_4_poly,treatment_1_poly,treatment_2_poly,treatment_3_poly,treatment_4_poly
simGenes_164,2245,1885,1782,1441,1418,1329,1561,1800
simGenes_165,813,1170,849,1344,1476,765,878,1070
simGenes_166,4927,5085,4533,5047,1450,1704,1959,1290
simGenes_167,1248,1208,1076,883,1018,1298,1144,784
simGenes_168,3579,3493,3696,3551,3424,3492,3437,3454
simGenes_169,2891,3114,3261,2059,4140,2755,2187,3607
simGenes_170,1198,906,785,1403,871,730,914,851
simGenes_171,138,77,103,131,144,107,103,287
simGenes_172,3829,4280,4382,4594,3649,4271,3746,3839
simGenes_173,6465,7198,6811,6691,6218,6815,7049,6029
simGenes_174,4382,4360,3750,4821,3902,3874,3472,3828
simGenes_175,2481,3619,1576,4943,3048,3348,2290,1555
simGenes_176,974,992,825,1132,960,1047,1046,1012
simGenes_177,399,385,538,468,708,833,704,909
simGenes_178,620,500,418,925,617,1429,791,1821
simGenes_179,294,389,483,593,401,302,408,240
simGenes_180,508,443,383,446,377,343,282,241
simGenes_181,2326,2587,3286,3001,2656,3199,3096,2943
simGenes_182,2374,2428,2475,2279,2188,2681,1711,2933
simGenes_183,2109,2774,2691,2762,2468,2837,3181,3045
simGenes_184,1355,1016,1081,1231,1202,683,1041,1230
simGenes_185,226,185,220,232,219,239,201,235
simGenes_186,421,510,530,405,482,501,597,387
simGenes_187,2995,2585,2996,3158,2893,2848,2928,2788
simGenes_188,1819,1435,1419,1337,1406,1518,1440,1497
simGenes_189,2542,2102,2389,2595,1674,2539,2174,2116
simGenes_190,55,76,65,61,50,93,34,61
simGenes_191,651,526,515,975,702,494,540,519
simGenes_192,1314,1183,935,1007,1180,779,854,866
simGenes_193,168,134,200,177,126,198,180,143
simGenes_194,2005,2385,1940,2047,1885,1666,1162,1278
simGenes_195,1124,1328,1139,1127,1268,1159,1344,1336
simGenes_196,256,329,291,300,203,370,236,292
simGenes_197,11824,10391,9004,10620,11182,9895,9622,12296
simGenes_198,6136,5764,4472,4735,4296,9296,6467,6854
simGenes_199,701,896,963,750,1009,890,860,627
simGenes_200,521,323,567,514,473,550,488,587
simGenes_201,7121,6994,5375,8341,8119,6611,6324,8032
simGenes_202,20663,19382,18454,15178,18788,18011,16784,15336
simGenes_203,1556,1396,1529,1447,1328,1574,1501,1488
simGenes_204,42,68,42,15,64,61,18,38
simGenes_205,460,230,420,333,292,320,415,342
simGenes_206,946,1229,1087,937,1075,1013,1290,1534
simGenes_207,228,92,201,333,90,163,133,212
simGenes_208,5558,6973,5880,3658,5500,3938,2520,5610
simGenes_209,210,695,448,331,424,370,356,227
simGenes_210,1156,1471,1263,1476,1147,1232,1065,1180
simGenes_211,816,659,957,998,428,983,1133,668
simGenes_212,4042,3619,5063,3679,4419,4431,3352,4200
simGenes_213,811,711,705,714,641,735,867,591
simGenes_214,2562,4949,5290,3232,4144,3992,2075,2231
simGenes_215,697,854,1091,881,806,978,694,758
simGenes_216,608,569,677,445,564,427,518,545
simGenes_217,657,491,579,680,679,688,471,653
simGenes_218,1402,1337,1060,1266,982,1197,2453,1725
simGenes_219,7339,8961,8262,7062,6901,7069,8559,5821
simGenes_220,1500,1810,2024,2225,1977,1793,2190,1673
simGenes_221,49,57,41,90,75,56,62,45
simGenes_222,121,162,98,128,113,125,162,167
simGenes_223,55258,56168,58221,58552,57662,58376,56440,56760
simGenes_224,4531,4235,4550,4514,4555,4156,4043,3771
simGenes_225,1330,1302,1418,1195,1267,1303,1426,1183
simGenes_226,618,762,786,526,942,791,1096,758
simGenes_227,10725,11898,13157,7954,8335,15790,7776,10302
simGenes_228,2056,2353,1962,2287,2227,2122,2282,2345
simGenes_229,2232,3093,3348,3167,3545,2288,3058,2996
simGenes_230,316,414,427,207,179,407,255,380
simGenes_231,4379,4168,3862,4266,3969,3735,4283,4332
simGenes_232,191,238,222,137,383,325,341,314
simGenes_233,821,864,878,1139,813,866,858,1115
simGenes_234,693,483,491,696,557,578,614,657
simGenes_235,2365,1995,2338,2496,2118,1963,2181,2598
simGenes_236,2028,1965,1852,1955,1967,2262,1497,1815
simGenes_237,515,1000,652,871,637,538,500,516
simGenes_238,562,580,427,289,384,527,490,512
simGenes_239,2214,2147,2309,2284,2040,2055,1858,2478
simGenes_240,940,1206,1163,1357,948,1632,658,931
simGenes_241,373,469,238,439,310,701,335,628
simGenes_242,735,619,875,750,1069,872,712,831
simGenes_243,2110,1222,1205,1169,1092,1302,829,1435
simGenes_244,2722,2470,2767,2893,3468,4961,2853,3033
simGenes_245,750,906,895,770,724,1077,863,784
simGenes_246,4545,4189,4053,3870,4126,4140,4185,3760
simGenes_247,2006,2477,2355,1985,2290,2242,2533,2203
simGenes_248,1329,1400,1672,1797,1691,2191,2377,1595
simGenes_249,2716,4029,3653,2085,3531,3727,3453,3076
simGenes_250,688,595,748,664,604,454,642,761
simGenes_251,7161,4006,4627,5123,5214,5862,4996,5298
simGenes_252,398,566,127,464,315,285,854,382
simGenes_253,1070,1224,1564,1346,1293,975,1130,1575
simGenes_254,1124,1027,1374,1614,1511,2141,1251,828
simGenes_255,160,297,278,208,388,343,162,187
simGenes_256,209,147,184,197,459,376,277,324
simGenes_257,3127,2818,3233,4151,3934,3296,2956,3500
simGenes_258,957,1136,1350,1030,981,1096,1224,1051
simGenes_259,659,644,632,677,637,678,693,599
simGenes_260,463,535,532,347,429,411,437,365
simGenes_261,3260,3399,2792,3081,6685,5058,4959,4417
simGenes_262,520,528,507,521,472,581,513,599
simGenes_263,546,909,477,816,673,618,998,621
simGenes_264,1732,1899,2009,1839,1942,1860,2277,2101
simGenes_265,292,238,208,293,311,271,321,273
simGenes_266,1143,1453,1648,974,1107,1297,1060,1343
simGenes_267,2057,2461,2401,2330,2504,2396,2441,1979
simGenes_268,316,496,544,495,343,384,448,448
simGenes_269,190,205,167,126,294,225,138,274
simGenes_270,4437,4485,5324,4707,4887,4890,4539,5033
simGenes_271,534,559,473,799,525,454,556,539
simGenes_272,5208,4578,6022,6245,5252,6014,4832,5125
simGenes_273,454,858,842,759,1197,1464,1353,1150
simGenes_274,840,686,867,853,822,648,760,690
simGenes_275,129,77,83,45,46,39,62,80
simGenes_276,925,874,797,882,976,912,739,890
simGenes_277,179,208,169,241,253,205,210,156
simGenes_278,281,376,241,308,225,399,238,173
simGenes_279,5493,7028,6500,5915,6626,5302,6594,5430
simGenes_280,3246,3477,3428,3061,3103,3313,3777,3322
simGenes_281,1321,1152,1550,1214,954,1303,1213,1190
simGenes_282,230,345,302,218,272,283,231,300
simGenes_283,1254,1284,1117,1425,954,1338,1256,1361
simGenes_284,67,41,60,73,54,75,64,45
simGenes_285,5972,5101,5583,5612,5175,5966,6228,6011
simGenes_286,308,315,293,238,177,207,40,127
simGenes_287,3745,3262,3671,3259,1666,1508,1235,1260
simGenes_288,464,462,495,487,429,506,487,530
simGenes_289,12186,12640,13664,13211,22119,17459,18708,14137
simGenes_290,3421,3691,3601,3462,3693,3686,3220,3675
simGenes_291,764,886,1088,624,977,872,1050,642
simGenes_292,445,420,506,417,592,400,531,404
simGenes_293,526,908,785,565,894,759,516,648
simGenes_294,106,178,140,96,119,85,52,56
simGenes_295,280,328,302,256,296,388,304,372
simGenes_296,1318,1330,1473,1419,1447,1524,1425,1569
simGenes_297,2227,2169,1758,2131,1488,2061,1809,2824
simGenes_298,2951,2908,2839,3761,1660,1854,2167,1333
simGenes_299,1352,1260,1468,1290,1453,1314,1269,1227
simGenes_300,656,907,451,541,677,642,582,543
simGenes_301,6523,4933,8062,5172,6418,5586,6177,7971
simGenes_302,997,1092,1003,1085,977,1005,998,1030
simGenes_303,6172,4853,4227,6016,4154,4204,3787,2974
simGenes_304,1216,1522,1592,1363,1010,1428,1744,1413
simGenes_305,484,305,219,176,228,236,230,461
simGenes_306,2799,2903,2229,2326,2931,3195,3062,2953
simGenes_307,3723,5292,4228,3619,5212,4360,5842,6504
simGenes_308,184,498,236,349,243,270,388,280
simGenes_309,1850,1663,974,1719,1602,1158,1454,1405
simGenes_310,5331,5598,5557,5478,5644,5678,6282,6158
simGenes_311,2285,1983,1814,1920,1857,1727,2208,2127
simGenes_312,25469,21688,15607,20846,21653,24682,20851,22454
simGenes_313,2497,1803,1857,2326,2389,2145,2065,2032
simGenes_314,1149,895,1083,1228,1145,1274,932,1141
simGenes_315,1090,1082,1092,1344,608,522,657,697
simGenes_316,804,785,793,1169,813,951,608,1436
simGenes_317,420,536,250,490,370,257,229,340
simGenes_318,1821,1125,1589,1415,1742,1316,1929,1817
simGenes_319,10161,11196,8840,10488,9736,9570,9235,9361
simGenes_320,1794,1806,1893,2003,2232,1976,2121,2180
simGenes_321,1489,919,1074,1119,1473,1470,1173,1419
simGenes_322,853,1020,858,786,1154,956,714,1032
simGenes_323,1110,1327,1303,1263,1310,1039,1248,1167
simGenes_324,1646,1722,1536,1598,1405,1667,1423,1527
simGenes_325,557,361,205,280,325,546,285,195
simGenes_326,977,987,1016,974,988,932,951,977
simGenes_327,1108,940,1035,1135,1036,1089,1112,1104
simGenes_328,1480,1630,1571,1427,1754,1562,1641,1569
simGenes_329,1222,1133,1480,1123,1209,1124,1488,1496
simGenes_330,647,1487,2156,1021,1377,1898,1031,1784
simGenes_331,166,160,178,154,154,167,146,152
simGenes_332,959,921,981,858,650,470,443,581
simGenes_333,4124,5193,5612,4174,3866,3403,4359,3939
simGenes_334,3402,2697,3221,2845,2681,2993,2688,3065
simGenes_335,597,578,621,612,594,543,609,618
simGenes_336,2180,1961,2561,2294,1441,1480,1512,1342
simGenes_337,7680,6841,6899,7529,6713,6697,7329,7235
simGenes_338,67,98,102,82,71,96,72,91
simGenes_339,4427,6391,4848,3893,5504,4059,6605,6498
simGenes_340,541,410,428,592,443,456,458,349
simGenes_341,17681,13989,16626,18708,19737,15483,16143,19648
simGenes_342,2213,1530,1907,1520,2076,1817,1974,1510
simGenes_343,2134,2145,2132,2158,1987,2172,2138,2175
simGenes_344,2585,2675,2519,2429,2245,3110,2943,2611
simGenes_345,1483,1632,1658,1593,1592,1935,1796,1923
simGenes_346,2384,2835,3268,2555,2714,2908,2447,2795
simGenes_347,696,563,496,493,663,510,607,649
simGenes_348,2086,1707,1804,2345,2125,2179,1627,2015
simGenes_349,488,437,398,474,529,523,591,551
simGenes_350,1495,1854,1685,1840,1829,2016,1841,1607
simGenes_351,1550,1690,1914,1199,2035,1883,1738,1222
simGenes_352,6556,6982,6626,6297,6324,5911,5975,6112
simGenes_353,3970,4341,3561,3876,1522,1514,1463,1784
simGenes_354,9380,7811,6410,8093,6681,8815,6043,7736
simGenes_355,1235,1270,1448,1205,1294,1387,1635,1056
simGenes_356,773,984,430,725,703,1041,609,439
simGenes_357,799,674,723,952,743,1061,691,884
simGenes_358,29365,24271,23055,18472,27009,23776,28955,24096
simGenes_359,845,813,889,894,808,942,864,861
simGenes_360,6058,5190,5787,5516,4980,5596,5190,5255
simGenes_361,561,642,577,489,506,432,617,526
simGenes_362,453,626,484,368,434,480,401,413
simGenes_363,389,847,534,432,636,420,440,450
simGenes_364,933,1050,1135,1029,1075,1090,1006,1024
simGenes_365,3808,4384,4052,4912,3587,4933,3553,4257
simGenes_366,926,1188,965,1206,833,902,906,922
simGenes_367,833,551,864,325,768,651,608,464
simGenes_368,533,632,951,505,594,426,330,294
simGenes_369,495,630,765,600,652,658,526,566
simGenes_370,10151,23884,8812,9685,13887,17333,16109,19938
simGenes_371,1054,1126,1048,1062,1041,1000,1053,992
simGenes_372,425,439,424,353,419,372,398,386
simGenes_373,1497,1710,1523,1382,1309,1374,1693,1909
simGenes_374,1385,1462,1060,1200,1467,1527,952,1310
simGenes_375,23988,19961,23242,20504,21881,15310,17612,25030
simGenes_376,3678,3474,4411,3519,3644,3536,3748,3457
simGenes_377,383,382,616,532,413,403,426,467
simGenes_378,299,355,298,362,320,379,377,371
simGenes_379,6058,5884,6785,7032,5889,6757,5993,5398
simGenes_380,203,280,361,214,278,215,232,271
simGenes_381,383,438,460,740,444,663,546,652
simGenes_382,213,216,200,300,246,255,260,196
simGenes_383,718,298,630,681,587,448,463,297
simGenes_384,3895,4084,3995,5472,4198,4720,4173,5031
simGenes_385,71,74,63,67,154,80,145,330
simGenes_386,3579,4226,3984,4305,3902,4063,3905,4137
simGenes_387,284,294,263,326,332,336,283,260
simGenes_388,282,245,253,210,274,209,232,321
simGenes_389,3093,3061,2932,3067,2970,2773,2197,3414
simGenes_390,1604,1729,1729,1865,3659,4133,3692,3500
simGenes_391,2513,2724,2463,2355,2708,2618,1966,2085
simGenes_392,820,828,762,801,774,657,861,744
simGenes_393,250,447,227,335,682,745,801,595
simGenes_394,510,541,614,561,513,607,539,565
simGenes_395,833,879,831,1048,883,1511,1458,1036
simGenes_396,1237,997,802,789,974,1146,850,1187
simGenes_397,471,584,653,728,917,597,720,401
simGenes_398,101,151,84,122,61,31,53,98
simGenes_399,302,274,302,313,374,358,308,313
simGenes_400,1302,906,982,1012,1210,1164,927,1106
simGenes_401,540,490,531,409,2062,1405,1102,1372
simGenes_402,47,76,54,78,72,58,76,89
simGenes_403,3183,1789,2592,2124,1702,2955,1824,2150
simGenes_404,346,477,446,495,537,346,558,507
simGenes_405,925,984,1010,1044,1143,875,1174,1044
simGenes_406,11257,10194,11449,10455,11023,10220,9651,10933
simGenes_407,2262,1320,1726,2268,1689,2535,2047,2189
simGenes_408,950,1000,839,926,757,742,969,963
simGenes_409,531,564,518,401,583,519,601,536
simGenes_410,1499,1313,1513,1432,1456,1505,1630,1372
simGenes_411,6119,6874,7262,7798,6586,7908,6438,6696
simGenes_412,505,493,687,967,687,1143,734,923
simGenes_413,36648,69246,29427,35235,21835,95110,21446,68882
simGenes_414,1770,1516,1748,1689,2009,1576,1913,2098
simGenes_415,1039,1049,1471,815,773,822,557,973
simGenes_416,285,192,137,114,149,207,297,136
simGenes_417,2102,1597,2347,2214,1661,1761,2042,1814
simGenes_418,2010,1627,1478,1728,549,539,980,815
simGenes_419,5842,4702,6124,5705,5752,5112,6453,6836
simGenes_420,742,656,700,558,734,897,681,678
simGenes_421,2304,2125,2092,2907,2471,3117,2122,1537
simGenes_422,295,611,604,386,585,690,613,929
simGenes_423,2159,2097,2174,2149,2053,1928,2081,2329
simGenes_424,7758,8354,7404,8283,7844,8034,7656,8014
simGenes_425,3804,3640,2760,3969,4937,5044,3285,6553
simGenes_426,6091,5191,6662,6441,6035,6316,6087,6293
simGenes_427,2648,2320,2521,2314,2445,2272,2144,2542
simGenes_428,321,339,366,209,361,266,369,410
simGenes_429,1022,1272,1342,1145,1162,962,1209,950
simGenes_430,54,44,51,25,52,46,47,55
simGenes_431,611,481,786,710,783,735,579,843
simGenes_432,1389,1228,1839,1610,1695,1428,1420,1529
simGenes_433,1242,1272,1208,948,1185,1226,1185,1050
simGenes_434,1547,1594,1487,1472,1501,1501,1392,1651
simGenes_435,636,110,523,344,551,679,289,496
simGenes_436,12543,11191,11933,10663,8673,11971,11234,8735
simGenes_437,500,432,512,485,508,472,528,512
simGenes_438,922,846,718,524,802,526,672,483
simGenes_439,343,178,288,115,248,217,243,448
simGenes_440,1365,915,906,1102,755,876,899,760
simGenes_441,9694,9064,9435,8929,9826,9318,9483,9442
simGenes_442,3005,2776,2826,2691,3341,2875,2966,2736
simGenes_443,6820,10727,6691,8179,7172,7248,8450,8235
simGenes_444,1379,1581,922,1137,556,515,527,551
simGenes_445,2111,1638,1586,1200,1077,2097,2213,1735
simGenes_446,458,228,476,405,696,98,212,445
simGenes_447,425,475,494,435,483,339,369,406
simGenes_448,474,327,440,353,392,571,192,565
simGenes_449,759,734,766,1139,885,809,776,646
simGenes_450,6669,6164,6888,5068,5466,4571,5427,3788
simGenes_451,1729,999,1734,1629,1643,1759,1640,1673
simGenes_452,7827,7825,7607,7512,8072,7028,7476,8389
simGenes_453,36833,35143,31856,36832,34297,38098,35552,36521
simGenes_454,903,906,955,907,926,876,885,894
simGenes_455,1373,1145,1182,1216,1316,1195,1270,1146
simGenes_456,2360,1800,2724,2180,1395,2123,1027,1749
simGenes_457,1921,2005,1553,2230,2275,1891,1812,1781
simGenes_458,32292,33864,31376,29495,32422,32110,34659,31108
simGenes_459,826,829,762,702,780,783,762,595
simGenes_460,1167,1337,1195,1415,1354,1574,1443,1226
simGenes_461,363,362,409,335,356,415,310,338
simGenes_462,594,626,486,694,314,174,183,204
simGenes_463,2465,3222,3378,2570,3172,3454,2195,2500
simGenes_464,158,58,134,83,97,94,140,38
simGenes_465,3136,2367,2879,3037,3168,3417,2801,3516
simGenes_466,605,677,682,711,692,613,723,613
simGenes_467,606,662,634,431,584,622,698,610
simGenes_468,306,237,289,213,466,523,434,298
simGenes_469,102,138,76,83,191,231,193,159
simGenes_470,2611,2676,2573,2547,4898,5310,6321,4736
simGenes_471,345,145,477,137,442,314,312,188
simGenes_472,1346,1045,1147,957,1185,1203,1046,1026
simGenes_473,3439,3101,5269,4553,3689,3945,3884,4181
simGenes_474,80,65,89,53,73,70,52,57
simGenes_475,569,545,589,600,554,661,580,572
simGenes_476,7177,8759,7835,7514,7882,7019,6768,6853
simGenes_477,4797,4930,6862,3454,4812,6183,3545,3786
simGenes_478,228,194,210,188,176,256,210,214
simGenes_479,1112,871,1269,1398,1055,1022,1444,2120
simGenes_480,397,428,414,372,364,355,530,408
simGenes_481,4167,4475,3447,3943,4227,3984,4214,3726
simGenes_482,334,261,322,499,681,364,437,677
simGenes_483,580,592,814,527,475,449,528,794
simGenes_484,1171,572,569,897,517,783,399,912
simGenes_485,1187,1345,1478,1462,1086,988,1144,1623
simGenes_486,2463,2180,1651,1877,1675,1684,2315,1855
simGenes_487,903,1427,946,1179,1379,994,1012,946
simGenes_488,525,258,262,355,294,335,344,285
simGenes_489,4337,4508,4516,4581,4325,4327,4409,4390
simGenes_490,862,899,651,951,940,837,922,820
simGenes_491,3549,3056,2574,2573,1494,812,985,1379
simGenes_492,1812,3088,2401,4282,4256,3390,2444,3301
simGenes_493,5145,5798,5009,4912,10885,7824,9924,11225
simGenes_494,1818,1621,1633,1745,1495,1531,1873,1539
simGenes_495,7208,8131,8950,8240,8205,6338,7418,6096
simGenes_496,3014,3271,3294,2855,5026,4662,6279,5619
simGenes_497,256,430,313,371,109,164,61,203
simGenes_498,292,523,707,173,456,398,303,419
simGenes_499,5230,4890,4848,4784,4639,4955,5067,4829
simGenes_500,34255,31132,29477,31747,29121,30175,31690,28315
simGenes_501,8156,6516,5896,6929,4963,6128,5572,4035
simGenes_502,590,527,598,609,1534,1421,1452,1274
simGenes_503,4960,4038,3788,4938,4843,5316,3429,4501
simGenes_504,502,538,542,535,548,530,550,563
simGenes_505,730,671,585,654,630,735,751,624
