gene,control_1_cyto,control_2_cyto,control_3_cyto,control_4_cyto,treatment_1_cyto,treatment_2_cyto,treatment_3_cyto,treatment_4_cyto
simGenes_58,2179,2296,2459,2930,2203,2928,2382,2415
simGenes_59,3857,3981,4803,4249,4157,4094,3338,3360
simGenes_60,1491,1090,1908,1804,995,1629,1868,1532
simGenes_61,282,308,532,667,383,383,357,442
simGenes_62,2842,3775,3063,3566,2596,3968,2302,3600
simGenes_63,1962,2641,2429,2196,1857,1776,1653,2075
simGenes_64,36812,33044,19638,29326,19547,33290,14350,25951
simGenes_65,128,169,186,106,201,68,171,111
simGenes_66,1692,1399,1397,1382,1262,1336,1144,1465
simGenes_67,1227,1435,1744,1403,1472,1044,1182,1176
simGenes_68,1414,2347,1845,2348,1927,1776,1126,1187
simGenes_69,11025,10837,10294,9444,9963,10663,7944,9248
simGenes_70,1722,2037,1799,2262,1979,2135,1705,2021
simGenes_71,3669,3490,3903,4239,4191,4412,3992,4420
simGenes_72,2968,2825,3362,2985,4051,4200,4210,5058
simGenes_73,938,1347,1026,1835,1314,4521,2292,1557
simGenes_74,528,542,518,531,494,460,509,569
simGenes_75,2599,2478,2517,2382,2534,1856,2514,2244
simGenes_76,578,716,659,547,595,584,629,560
simGenes_77,729,560,1101,1055,743,1161,659,1026
simGenes_78,568,641,570,552,623,712,572,489
simGenes_79,5655,6648,4042,4234,4672,8433,6004,7323
simGenes_80,8124,8208,7012,9019,5568,7572,6433,7005
simGenes_81,334,608,423,405,323,513,608,379
simGenes_82,3127,3063,2345,2893,2188,4590,2503,2480
simGenes_83,137,137,77,121,134,119,139,94
simGenes_84,1752,1349,1181,1347,1782,1417,709,1481
simGenes_85,454,219,498,504,496,331,543,437
simGenes_86,1519,842,1197,1070,3065,3579,3459,3827
simGenes_87,898,770,1150,858,1048,818,754,984
simGenes_88,597,656,656,611,612,634,587,579
simGenes_89,697,769,520,556,573,494,795,754
simGenes_90,19716,24992,23096,30166,19830,21076,21801,21604
simGenes_91,1730,1311,2215,1709,1282,1799,3285,2682
simGenes_92,633,826,934,811,891,524,751,1017
simGenes_93,1453,997,1587,838,1142,1276,1389,1438
simGenes_94,1784,1826,2001,2189,1886,1636,1792,1677
simGenes_95,689,838,705,719,1999,1382,2129,1264
simGenes_96,1658,1957,1818,1716,1921,1691,1833,1978
simGenes_97,3532,3259,3819,3377,3185,2292,2651,2528
simGenes_98,2573,2223,2369,2617,2340,2664,2793,2477
simGenes_99,621,610,691,714,656,561,746,698
simGenes_100,983,1542,1799,1907,1774,1906,2086,2033
simGenes_101,3872,4260,3399,3670,3637,3231,4039,4033
simGenes_102,8745,8141,7689,8889,7547,8608,9969,9133
simGenes_103,187,293,221,113,258,236,135,212
simGenes_104,1402,1536,1611,1870,1437,1676,1579,1305
simGenes_105,16162,16561,17023,15529,15543,16730,16107,15203
simGenes_106,1054,1228,1503,988,1296,1179,1039,1339
simGenes_107,342,665,437,560,533,514,453,659
simGenes_108,1495,1129,799,2245,2552,1716,1705,2872
simGenes_109,12446,13091,12573,14429,10640,12816,11348,11610
simGenes_110,1577,1052,2060,1640,1725,1355,1916,1565
simGenes_111,384,576,457,511,450,441,532,426
simGenes_112,4326,3920,4017,4166,4201,4182,4191,3874
simGenes_113,15023,11312,13278,15571,15681,9170,12482,9816
simGenes_114,3588,3713,3533,3726,3707,3733,3647,3621
simGenes_115,324,1284,1366,987,683,367,386,422
simGenes_116,1655,1740,1775,1638,2175,2541,2245,1773
simGenes_117,566,460,769,654,765,734,576,489
simGenes_118,145,148,121,125,144,150,101,161
simGenes_119,799,841,705,637,724,666,926,734
simGenes_120,1157,1035,955,1002,1177,1040,1085,990
simGenes_121,1415,1131,960,1022,923,1387,1104,675
simGenes_122,1220,2767,1608,864,1214,2350,1812,1389
simGenes_123,2697,2729,2428,2601,2778,2586,2206,2535
simGenes_124,1884,1550,1592,1763,1931,2085,1723,2190
simGenes_125,4387,3506,5508,3020,6099,3732,3696,5278
simGenes_126,646,415,541,517,633,617,403,597
simGenes_127,299,415,366,439,485,358,368,318
simGenes_128,305,502,556,703,298,463,574,548
simGenes_129,2194,2160,2131,2450,2073,1510,1498,1948
simGenes_130,3542,3595,3655,3561,3407,3427,4825,3585
simGenes_131,1125,1021,1124,897,1087,1108,1268,1156
simGenes_132,439,511,452,497,441,492,503,504
simGenes_133,1479,2430,2188,2374,1875,2273,1883,1743
simGenes_134,959,1196,586,759,601,874,282,484
simGenes_135,101,102,111,111,91,101,93,107
simGenes_136,12763,21018,5798,10950,9036,24478,23076,10719
simGenes_137,6038,5887,6024,5640,6180,7147,6740,6511
simGenes_138,155,178,139,178,80,105,81,76
simGenes_139,2638,1850,1467,1063,1679,1309,3078,1858
simGenes_140,2796,3479,2763,2028,2920,2760,3700,2838
simGenes_141,441,427,432,504,350,640,531,401
simGenes_142,120,183,142,89,55,143,125,87
simGenes_143,3847,3907,5277,4221,2357,2107,2585,2650
simGenes_144,3942,3438,3448,4095,4142,3765,3734,4049
simGenes_145,1546,1885,1659,1704,1569,1696,1583,1770
simGenes_146,658,1097,768,848,644,703,748,853
simGenes_147,1175,1165,1210,1306,1182,1361,1447,836
simGenes_148,4029,4222,4138,4533,4700,4169,4115,3884
simGenes_149,5537,3433,3543,4637,3851,5209,4430,3625
simGenes_150,6728,6418,5933,6263,6292,6546,6554,6982
simGenes_151,4226,3509,3265,3493,4337,3718,4023,3901
simGenes_152,253,424,275,359,374,254,278,154
simGenes_153,568,462,476,448,1000,527,873,382
simGenes_154,283,272,304,279,306,271,336,333
simGenes_155,4438,4133,4711,3856,3421,3088,3110,3004
simGenes_156,1570,1499,1542,1475,1654,1535,1560,1644
simGenes_157,1292,1475,1604,1395,1179,1094,1312,1337
simGenes_158,1030,1221,1207,1345,1263,1250,1124,941
simGenes_159,2238,2258,2543,2462,2309,2288,1529,3774
simGenes_160,1712,2572,2597,1418,2106,2563,1169,1484
simGenes_161,30126,31546,30747,30296,30770,30061,29444,30944
simGenes_162,4344,4132,3546,3762,2977,3676,3781,3681
simGenes_163,8938,8017,7689,8456,8023,9618,5258,10081
simGenes_164,1949,1822,1148,1303,1574,1732,1748,1659
simGenes_165,2889,3136,2654,3224,2750,2971,3542,3076
simGenes_166,6457,6492,5756,6558,6565,6072,7420,6361
simGenes_167,1182,1199,1256,1161,1244,1105,1231,1186
simGenes_168,3063,3541,3141,3056,3095,3064,2630,2967
simGenes_169,3172,4036,3261,3355,2952,3537,3115,2497
simGenes_170,266,1216,1254,932,932,770,1021,1637
simGenes_171,119,112,93,156,91,126,89,151
simGenes_172,6609,6698,7565,6838,6189,6610,7073,6741
simGenes_173,3660,3473,3962,3646,3459,3974,3387,3689
simGenes_174,1564,1633,1623,1630,1640,1526,1554,1641
simGenes_175,5696,5517,4764,4439,2720,3297,3477,3124
simGenes_176,2301,2592,2324,1938,2203,1926,2195,1695
simGenes_177,447,456,460,514,1115,1307,1053,724
simGenes_178,671,585,610,469,541,187,663,627
simGenes_179,571,511,701,328,293,392,344,347
simGenes_180,914,842,812,705,863,919,741,869
simGenes_181,9873,5213,5252,5394,6733,7217,4875,9397
simGenes_182,1282,1141,1442,1030,1322,1061,1160,925
simGenes_183,2330,2085,2068,2287,2249,2585,2191,2283
simGenes_184,1040,780,595,882,722,982,845,940
simGenes_185,91,105,117,77,90,113,99,118
simGenes_186,284,357,315,200,185,468,228,316
simGenes_187,2265,2280,2480,2495,6621,7208,6043,5278
simGenes_188,2337,1053,1944,1664,1987,2375,1886,1411
simGenes_189,3944,3687,2279,1628,1397,2600,3954,1042
simGenes_190,263,314,271,237,206,270,191,365
simGenes_191,2716,3002,3152,3451,2608,1922,2827,2368
simGenes_192,3527,2508,2989,3858,2596,4995,2647,2966
simGenes_193,988,582,300,447,956,614,264,785
simGenes_194,7067,7632,7389,6631,7778,7062,8615,7729
simGenes_195,3476,2989,4336,3608,2755,3647,3692,1694
simGenes_196,754,856,778,975,1015,825,869,960
simGenes_197,5690,5055,7160,6350,5865,6779,5984,5365
simGenes_198,2492,1399,1787,2357,1935,1842,2440,2243
simGenes_199,802,682,691,678,708,898,670,492
simGenes_200,1146,1321,1204,1129,1436,1106,1264,1190
simGenes_201,8572,9929,8716,9777,6218,10536,10459,6957
simGenes_202,10093,9447,9282,11162,10260,9598,10683,11141
simGenes_203,975,1133,1326,1195,1139,1004,1285,1286
simGenes_204,104,130,186,164,240,153,176,151
simGenes_205,263,370,240,317,412,293,304,330
simGenes_206,1116,940,992,1257,984,1158,1079,983
simGenes_207,102,146,112,131,135,137,136,122
simGenes_208,1966,2468,3131,2068,3233,2899,3066,3315
simGenes_209,1223,887,922,807,2278,2137,2559,2174
simGenes_210,1245,1178,1178,1273,1215,1274,1224,1233
simGenes_211,3713,3782,3711,3495,3814,4283,4233,3391
simGenes_212,2149,2968,2763,3244,2518,3051,2328,1641
simGenes_213,1356,1752,1445,1951,1632,1437,1317,1515
simGenes_214,2029,3182,5017,2408,3565,913,1281,3875
simGenes_215,925,774,897,872,1056,1373,1513,819
simGenes_216,579,612,530,479,585,711,509,495
simGenes_217,1682,1405,1498,1358,1447,1677,1424,1248
simGenes_218,897,1349,1006,846,1202,1745,868,1606
simGenes_219,4666,5079,5433,4341,5498,7296,5661,3040
simGenes_220,950,749,843,957,428,755,808,820
simGenes_221,156,154,126,131,133,136,138,147
simGenes_222,471,511,552,364,467,450,496,508
simGenes_223,33637,36099,35052,30246,30325,32560,33383,33820
simGenes_224,2042,2117,1643,1695,2656,2543,2448,2592
simGenes_225,3988,2930,3784,3426,2737,2610,2948,3279
simGenes_226,855,931,1051,678,770,1098,1019,620
simGenes_227,8658,10534,8312,11907,10873,8921,9524,7616
simGenes_228,2348,2602,2988,1963,2263,2778,3923,2595
simGenes_229,3691,4615,4164,4016,3468,4587,4905,4124
simGenes_230,1511,1439,1582,1721,1594,2140,2306,1797
simGenes_231,4348,4110,3892,4162,4582,4167,4555,4379
simGenes_232,898,1017,1258,1024,937,1254,988,992
simGenes_233,1949,2073,1241,1240,2054,1699,2345,1445
simGenes_234,1488,2231,1260,1298,1791,1434,1212,1861
simGenes_235,5230,5563,5632,4909,5344,4994,5012,4873
simGenes_236,3036,2205,3520,3120,2903,2424,3046,2706
simGenes_237,925,802,1116,864,1041,931,802,988
simGenes_238,1118,1536,1203,1627,741,977,1153,743
simGenes_239,3045,2466,3070,2743,3018,2425,1871,2720
simGenes_240,2185,1577,1080,2238,5061,5198,4840,5098
simGenes_241,1061,1265,951,1172,1072,1051,1154,1074
simGenes_242,1159,1129,1344,1145,1236,1256,1260,1172
simGenes_243,475,974,994,1198,725,796,806,1043
simGenes_244,3072,2406,2641,2687,3208,2648,2418,3027
simGenes_245,962,896,921,1284,1273,738,991,1109
simGenes_246,4701,5897,4628,4352,4862,4245,4525,3801
simGenes_247,6449,6448,6508,6367,6218,6047,6448,6261
simGenes_248,4153,3805,3351,4203,4083,4450,4525,4026
simGenes_249,2889,3687,3337,3825,3246,3695,3390,3323
simGenes_250,1078,1002,918,946,1014,750,666,1196
simGenes_251,7314,7297,5884,6033,6940,4387,5969,5071
simGenes_252,985,1011,1185,793,1031,994,1150,853
simGenes_253,3568,3162,3461,3549,3119,3644,3655,3277
simGenes_254,1483,2372,2084,2511,1683,2102,1860,2621
simGenes_255,652,504,684,552,557,377,634,647
simGenes_256,251,266,236,260,179,220,259,120
simGenes_257,3321,5226,4215,3204,4191,5983,6550,2737
simGenes_258,1781,1494,1737,1767,1871,1991,1637,1692
simGenes_259,886,892,899,861,843,987,1119,1073
simGenes_260,295,282,233,248,215,363,344,256
simGenes_261,3162,2798,3448,4243,4752,4646,4586,4616
simGenes_262,1148,1175,663,689,1071,679,475,589
simGenes_263,1167,1003,931,1293,1075,1039,1073,1275
simGenes_264,1944,2118,1936,1829,2104,1880,2017,2061
simGenes_265,319,291,197,372,289,303,472,326
simGenes_266,1540,1404,1268,1426,1340,1404,1242,1504
simGenes_267,1084,1207,991,970,1248,1215,1200,1183
simGenes_268,290,286,219,315,283,191,275,241
simGenes_269,478,537,441,389,555,456,466,498
simGenes_270,11796,12617,13005,11010,11086,11957,10178,10336
simGenes_271,368,246,505,489,352,359,407,318
simGenes_272,4736,4915,5642,5188,2297,2184,1867,2247
simGenes_273,2379,3317,2272,2074,2817,2253,2397,2311
simGenes_274,529,557,500,598,573,598,604,454
simGenes_275,80,81,74,88,89,75,46,101
simGenes_276,1372,1358,1467,1140,1064,1544,1660,1221
simGenes_277,115,178,188,217,207,101,112,125
simGenes_278,484,424,460,249,372,289,337,423
simGenes_279,7343,7898,8088,7638,7648,8029,8568,7764
simGenes_280,2423,2979,2757,3547,3694,2230,2743,2863
simGenes_281,2246,2757,2255,2308,2420,2223,2228,2083
simGenes_282,509,348,471,640,207,225,183,207
simGenes_283,1122,1681,981,773,1403,1723,1000,401
simGenes_284,129,154,117,85,126,116,137,143
simGenes_285,8021,7060,8861,8840,8660,8368,6694,8284
simGenes_286,277,300,293,283,196,135,126,132
simGenes_287,3685,4704,3912,3592,1569,1647,1654,1690
simGenes_288,846,837,885,813,887,993,608,803
simGenes_289,28440,21275,20214,18340,20276,26174,17742,19407
simGenes_290,2150,1740,2325,2340,2579,1977,3064,2373
simGenes_291,506,420,399,436,388,434,376,419
simGenes_292,1515,520,1879,1450,2096,869,1214,875
simGenes_293,344,437,346,412,269,405,392,410
simGenes_294,128,128,122,130,108,90,157,100
simGenes_295,423,260,295,268,494,278,244,291
simGenes_296,961,641,1037,817,741,1007,1001,775
simGenes_297,3350,3022,2743,3275,2271,2863,2738,2533
simGenes_298,1799,1591,1638,1440,1644,1896,1844,1786
simGenes_299,1740,2291,1557,1574,2189,1883,2175,1759
simGenes_300,1001,1342,744,948,1135,1116,701,1123
simGenes_301,7568,6204,7812,3007,5911,6395,4511,3911
simGenes_302,1126,1132,1073,1058,975,1129,1057,1144
simGenes_303,6383,7190,6216,5116,3724,3645,3582,3287
simGenes_304,1624,1393,1947,2089,1489,1788,1696,1649
simGenes_305,130,150,118,65,156,93,173,185
simGenes_306,8978,8334,10199,11734,10590,12168,11599,7690
simGenes_307,2261,2112,1766,2595,2066,2371,2306,2366
simGenes_308,816,306,811,774,626,818,522,1366
simGenes_309,3537,2660,3589,3143,3579,3380,3940,3138
simGenes_310,6511,7065,7017,6832,6888,7601,7092,6876
simGenes_311,1074,1182,905,756,2425,942,1302,718
simGenes_312,10109,9115,9982,10616,11266,8068,9739,6846
simGenes_313,3125,1318,1747,1532,1864,1846,1697,1572
simGenes_314,2503,2660,2625,2414,2700,2389,2931,2079
simGenes_315,740,701,883,633,535,473,610,897
simGenes_316,807,911,917,875,816,921,837,878
simGenes_317,325,477,380,397,292,333,348,344
simGenes_318,2804,3016,2796,2877,2595,3104,3291,2926
simGenes_319,6045,8426,8006,11214,10570,6689,7683,7816
simGenes_320,5309,5219,6396,6026,5975,6153,5945,5028
simGenes_321,1352,1045,1039,927,769,1065,1027,910
simGenes_322,706,841,822,843,318,325,543,394
simGenes_323,1480,1622,1939,1592,1764,1549,1630,1721
simGenes_324,1687,1834,1863,1883,1767,1759,2177,2345
simGenes_325,376,677,641,471,348,344,348,484
simGenes_326,751,754,764,859,646,728,723,758
simGenes_327,1809,1668,1350,1532,1709,1459,1538,1355
simGenes_328,2594,2983,3477,3755,2995,2610,2964,3394
simGenes_329,859,906,849,1008,874,1018,658,775
simGenes_330,1267,1074,2141,1237,2713,1421,1194,1475
simGenes_331,213,213,187,168,276,240,283,277
simGenes_332,1012,1197,999,1121,409,595,478,534
simGenes_333,4956,7777,7756,5184,5617,8157,8072,6841
simGenes_334,1820,1904,2204,2029,1858,1871,1611,1785
simGenes_335,674,386,473,537,579,622,399,467
simGenes_336,1980,2296,2320,2043,1226,1675,1031,1265
simGenes_337,6575,6225,6465,6602,6908,6462,6557,7060
simGenes_338,188,536,285,566,102,107,89,37
simGenes_339,3727,3318,2822,3048,3535,4002,3699,3747
simGenes_340,570,535,509,555,537,516,508,540
simGenes_341,20925,22482,19659,17692,15940,18315,19898,19528
simGenes_342,1494,1552,1601,1605,1558,1560,1551,1509
simGenes_343,1189,1596,1530,1286,1364,1266,1274,1700
simGenes_344,4824,4077,2531,4265,5236,2849,3383,2624
simGenes_345,2242,2172,2057,2234,2429,2202,2391,2401
simGenes_346,2806,2540,2554,3224,2314,1514,1685,1502
simGenes_347,533,450,535,481,426,551,451,461
simGenes_348,1685,1602,1395,1650,1314,1272,1300,1973
simGenes_349,384,338,176,339,390,261,336,372
simGenes_350,1160,1125,1311,1543,1644,1243,1475,1628
simGenes_351,1680,1716,1456,1761,1576,1483,1924,1656
simGenes_352,3940,4012,4053,3661,3615,3599,3542,4142
simGenes_353,3588,3626,3830,3897,1458,1818,2191,1852
simGenes_354,3260,3265,3462,3312,3370,3566,3639,3350
simGenes_355,1987,2125,2443,2037,2343,2095,2352,1819
simGenes_356,754,478,450,522,668,422,476,653
simGenes_357,1388,884,1322,806,974,1055,1317,1134
simGenes_358,24826,25381,22661,23180,24333,25425,23918,23881
simGenes_359,1481,1795,1984,1202,1047,1436,2012,1712
simGenes_360,3433,3165,2371,3968,7695,8353,8836,7866
simGenes_361,407,228,566,527,1018,617,346,577
simGenes_362,1836,1899,1806,1927,1670,2359,1498,2646
simGenes_363,1331,1059,979,1104,1419,1038,1097,1891
simGenes_364,2453,2344,2751,2174,2141,1893,2564,2448
simGenes_365,4360,4546,5431,5165,3875,4330,4216,4587
simGenes_366,2321,2345,2755,2210,1891,2545,1630,1710
simGenes_367,741,388,757,944,760,397,331,418
simGenes_368,870,347,374,545,478,401,443,487
simGenes_369,907,1160,1111,1147,1018,1142,875,742
simGenes_370,12067,11622,13023,11573,11029,16563,10242,12803
simGenes_371,1256,1566,1431,1481,1525,1431,1438,1610
simGenes_372,636,719,717,730,656,570,813,713
simGenes_373,3693,3853,3658,3580,3772,3990,3509,4164
simGenes_374,629,398,910,285,1236,872,691,847
simGenes_375,9183,10222,10378,11898,9471,9188,9620,9309
simGenes_376,3415,1902,3349,2235,3360,3177,2507,2345
simGenes_377,502,395,420,383,429,399,340,483
simGenes_378,598,456,585,485,623,579,487,514
simGenes_379,12085,6712,9068,9735,9422,8605,9400,7156
simGenes_380,619,569,770,890,594,1074,924,889
simGenes_381,377,429,489,382,641,556,496,526
simGenes_382,374,441,275,431,522,548,426,245
simGenes_383,1099,943,946,979,906,943,893,1096
simGenes_384,5024,4555,3884,4542,4488,4248,3991,5398
simGenes_385,54,95,71,73,104,115,118,102
simGenes_386,1675,1981,1955,1946,1856,2171,1908,1639
simGenes_387,489,534,470,540,534,472,547,457
simGenes_388,221,387,347,219,362,264,491,369
simGenes_389,3894,3161,3390,3928,2754,1132,2126,2437
simGenes_390,1265,1659,1730,1921,1947,1293,1668,1452
simGenes_391,1736,1987,2538,2349,1682,2339,1776,2067
simGenes_392,423,565,593,451,455,519,515,603
simGenes_393,255,273,276,325,623,672,475,579
simGenes_394,1430,862,699,679,788,958,780,801
simGenes_395,948,486,1283,1046,1009,1077,930,1113
simGenes_396,1385,1499,1270,1247,1246,1282,1318,1614
simGenes_397,1125,838,787,1353,1228,1762,1043,1143
simGenes_398,141,115,154,107,53,70,51,62
simGenes_399,755,644,345,469,593,733,401,1183
simGenes_400,2212,2004,2374,1812,1870,1950,2243,2040
simGenes_401,349,295,415,554,417,432,561,514
simGenes_402,110,159,73,118,128,113,86,72
simGenes_403,1416,3643,839,2456,2020,2764,2122,1832
simGenes_404,485,532,603,635,358,544,339,428
simGenes_405,700,645,613,589,637,668,599,627
simGenes_406,7082,7614,6450,9304,7659,7344,6916,4960
simGenes_407,1199,1707,2211,1802,1399,1638,2267,1182
simGenes_408,1331,2085,1817,1204,1379,1615,2059,2002
simGenes_409,2916,1694,1250,1614,1994,1647,2232,2761
simGenes_410,4828,4657,5368,4555,5373,4703,5151,4844
simGenes_411,20068,19562,20131,19424,19748,20179,18169,19723
simGenes_412,610,759,844,649,853,829,727,595
simGenes_413,8522,12365,24805,24188,11976,29547,19848,15652
simGenes_414,1913,3245,2467,2649,3111,2254,1856,2708
simGenes_415,3508,3477,2738,2990,3038,3758,3877,3917
simGenes_416,162,147,206,170,171,148,115,128
simGenes_417,2488,411,724,532,1006,1068,933,1398
simGenes_418,2153,3051,2361,2317,2164,3009,2806,2419
simGenes_419,9481,8396,8122,9162,7784,8171,7881,8883
simGenes_420,1625,1328,1210,1122,1027,1089,1301,1154
simGenes_421,3165,3350,2654,3437,3221,3413,3438,3520
simGenes_422,1257,808,1053,956,998,821,938,907
simGenes_423,4332,4862,4599,4752,5354,4593,4353,3803
simGenes_424,4691,4503,4304,4674,4882,5162,4838,4547
simGenes_425,3285,2489,4174,3087,2436,3184,3681,3187
simGenes_426,3374,3168,3045,3264,3198,3282,3267,3013
simGenes_427,2093,2412,1764,1132,1692,2346,2230,2385
simGenes_428,205,514,449,192,275,547,555,647
simGenes_429,2359,2357,2514,2329,2336,2371,2275,2500
simGenes_430,229,195,215,230,255,173,195,212
simGenes_431,2486,2340,2355,2095,1929,2200,1868,2021
simGenes_432,737,642,822,714,457,548,697,657
simGenes_433,1191,1576,1266,1416,2525,1991,1639,961
simGenes_434,1896,1751,1821,1540,3231,3317,3655,4573
simGenes_435,203,289,293,172,261,252,218,182
simGenes_436,10228,9445,10251,10168,9590,9575,9218,9361
simGenes_437,1965,1728,1530,1577,2005,1684,1593,2047
simGenes_438,842,772,782,634,838,877,793,566
simGenes_439,1218,1197,1090,1309,1405,1096,950,1265
simGenes_440,1412,1463,1579,1654,1664,1802,2015,1931
simGenes_441,18242,16392,19521,16753,11365,10804,13123,12839
simGenes_442,5375,3974,3893,3142,3897,4674,4455,3243
simGenes_443,3579,5253,3791,4023,4748,3714,4887,3587
simGenes_444,757,975,1597,1592,399,647,468,425
simGenes_445,1059,1285,1423,1306,918,1248,1314,1109
simGenes_446,183,240,278,306,258,387,231,194
simGenes_447,921,1029,981,954,1001,813,828,1016
simGenes_448,1325,1128,2223,1606,870,4356,1408,2638
simGenes_449,457,584,519,551,573,588,637,586
simGenes_450,4275,4247,4835,4946,4740,4359,4368,4760
simGenes_451,2182,2106,2736,2296,2610,2296,2700,2337
simGenes_452,3750,3737,3937,3718,3856,3859,3860,3906
simGenes_453,33057,32485,32851,33541,33055,32012,32886,32110
simGenes_454,438,351,346,320,311,332,404,380
simGenes_455,3472,5822,3832,5258,4659,5931,4183,4211
simGenes_456,1004,930,1104,1129,594,358,165,307
simGenes_457,2071,2024,2110,1843,1133,994,804,802
simGenes_458,19121,20856,18727,20423,17470,18069,19798,17864
simGenes_459,1790,1172,1460,1160,1792,1501,1468,1451
simGenes_460,702,693,606,818,542,760,659,571
simGenes_461,862,594,830,888,764,516,679,992
simGenes_462,450,433,491,772,398,234,208,244
simGenes_463,3607,3590,3031,3339,3276,3225,3080,3990
simGenes_464,99,124,90,176,109,54,207,250
simGenes_465,2283,2631,2637,2570,2827,2868,2678,2584
simGenes_466,1053,1429,1085,1342,1316,1381,1258,1197
simGenes_467,1239,1152,1185,1212,1120,1171,1246,1240
simGenes_468,325,445,366,388,324,450,276,391
simGenes_469,235,240,319,202,248,287,397,239
simGenes_470,1126,2151,2446,1644,6343,5416,5074,6622
simGenes_471,344,309,404,260,286,367,311,316
simGenes_472,706,883,409,762,963,852,790,1403
simGenes_473,6473,7844,8976,6878,6941,5091,4106,3305
simGenes_474,144,189,125,68,127,90,111,114
simGenes_475,1136,474,454,781,514,793,995,553
simGenes_476,8138,6825,5931,7161,4272,4038,4313,4250
simGenes_477,5800,3573,5859,5163,5231,4698,4978,4301
simGenes_478,394,375,396,424,450,446,405,344
simGenes_479,1146,892,1590,624,1652,2073,2915,3679
simGenes_480,484,473,620,394,416,570,470,521
simGenes_481,2902,2800,3062,3109,3234,2923,2944,3153
simGenes_482,1080,1081,1018,1499,630,1550,854,1211
simGenes_483,1202,980,1146,935,957,1036,1447,975
simGenes_484,1435,1095,1388,1401,1407,1468,1627,1611
simGenes_485,2450,2083,3836,2434,2850,2915,2895,3071
simGenes_486,3527,4950,4187,2377,2169,2089,3330,1471
simGenes_487,911,821,1081,1243,1173,1067,1321,1121
simGenes_488,371,248,438,592,411,485,256,289
simGenes_489,2904,2891,2753,3011,3221,3257,3239,3366
simGenes_490,594,621,664,596,654,620,602,630
simGenes_491,2754,3358,2291,2523,641,996,1541,625
